id;full_name;road_segment_wkt
606095173;;LINESTRING(174.72605 -36.75142,174.72594 -36.75135,174.72585 -36.75127,174.72574 -36.75118,174.72563 -36.7511,174.72548 -36.75101)
606098509;;LINESTRING(174.72669 -36.751,174.72669 -36.75093,174.72669 -36.75087)
606098510;;LINESTRING(174.72669 -36.75087,174.72673 -36.75079,174.72679 -36.75072,174.72689 -36.75066,174.727 -36.7506,174.7271 -36.75056,174.72732 -36.75048)
606098520;Northern Busway;LINESTRING(174.72745 -36.75148,174.72731 -36.75136,174.72701 -36.75111,174.72669 -36.751)
606095184;Northern Mtwy;LINESTRING(174.73189 -36.7564,174.73142 -36.75597,174.73057 -36.75523,174.73001 -36.75477,174.72915 -36.75402,174.72866 -36.75357,174.72822 -36.75316,174.72754 -36.75247)
606098528;Northern Busway;LINESTRING(174.73261 -36.7565,174.73125 -36.75523,174.7301 -36.75412,174.72899 -36.75308)
606098529;Northern Busway;LINESTRING(174.72899 -36.75308,174.72803 -36.75216,174.72788 -36.75192,174.72745 -36.75148)
606232984;;LINESTRING(174.72891 -36.7519,174.7286 -36.75162,174.72808 -36.75109)
605945760;;LINESTRING(174.7534 -36.78773,174.75319 -36.78771,174.75302 -36.78764)
605952511;;LINESTRING(174.75215 -36.78879,174.75232 -36.78875,174.75243 -36.78875,174.75255 -36.78875)
605958606;;LINESTRING(174.75332 -36.78813,174.75321 -36.78791)
605965986;;LINESTRING(174.75321 -36.78791,174.75302 -36.78764)
605969215;;LINESTRING(174.7524 -36.78857,174.7523 -36.78846)
605979136;;LINESTRING(174.75262 -36.78883,174.75255 -36.78875)
606072784;;LINESTRING(174.75255 -36.78875,174.7524 -36.78857)
606132795;Northern Mtwy;LINESTRING(174.74464 -36.77502,174.74402 -36.77398,174.74366 -36.77332)
606132796;Northern Mtwy;LINESTRING(174.74366 -36.77332,174.74353 -36.77308,174.74287 -36.77183,174.74276 -36.77163)
606133511;;LINESTRING(174.74313 -36.77321,174.74293 -36.77291,174.74286 -36.77281)
606133512;;LINESTRING(174.74286 -36.77281,174.74277 -36.77268)
606133513;;LINESTRING(174.74277 -36.77268,174.74265 -36.77253)
606133514;;LINESTRING(174.74383 -36.77424,174.74365 -36.77399)
606133515;;LINESTRING(174.74365 -36.77399,174.74313 -36.77321)
606144968;;LINESTRING(174.74492 -36.77546,174.74447 -36.77451,174.74412 -36.77384,174.74388 -36.77328)
606162065;;LINESTRING(174.74386 -36.77154,174.74341 -36.77156,174.74327 -36.77154,174.74318 -36.77149)
606162066;;LINESTRING(174.74318 -36.77149,174.74296 -36.77137)
606162068;;LINESTRING(174.7433 -36.77203,174.74338 -36.77195)
606162078;Northern Busway;LINESTRING(174.74455 -36.77455,174.74418 -36.77381,174.7435 -36.77225,174.74345 -36.77211,174.74338 -36.77195,174.74328 -36.7717,174.74325 -36.77162,174.74318 -36.77149)
606177139;;LINESTRING(174.74388 -36.77328,174.74372 -36.77293)
606177140;;LINESTRING(174.74372 -36.77293,174.7433 -36.77203)
606177192;;LINESTRING(174.74221 -36.77176,174.74217 -36.77165)
606177193;;LINESTRING(174.74217 -36.77165,174.74197 -36.77117,174.74169 -36.77048)
606179363;;LINESTRING(174.74338 -36.77195,174.74345 -36.77189)
606179364;;LINESTRING(174.74345 -36.77189,174.7436 -36.77174,174.74371 -36.77165,174.74386 -36.77154)
606127803;Northern Mtwy;LINESTRING(174.75997 -36.80476,174.76009 -36.80453)
606127804;Northern Mtwy;LINESTRING(174.76008 -36.80484,174.76022 -36.80458)
606131756;Northern Mtwy;LINESTRING(174.76082 -36.80283,174.76105 -36.80221,174.76115 -36.80193,174.76122 -36.8017,174.76127 -36.8015,174.76132 -36.80125,174.76135 -36.80095,174.76137 -36.80066,174.76137 -36.80047,174.76136 -36.80022,174.76134 -36.79999,174.76131 -36.79979,174.76128 -36.79962)
606132939;Northern Mtwy;LINESTRING(174.76097 -36.8029,174.76114 -36.80245,174.76126 -36.80213,174.76139 -36.80173,174.76146 -36.80144,174.76152 -36.8011,174.76155 -36.80079,174.76156 -36.80053)
606133498;Northern Mtwy;LINESTRING(174.75898 -36.80622,174.75915 -36.806,174.75929 -36.80581,174.75949 -36.80553,174.75969 -36.80522,174.75984 -36.80498,174.75997 -36.80476)
606144135;420;LINESTRING(174.76041 -36.80389,174.76056 -36.80318)
606162034;;LINESTRING(174.76056 -36.80318,174.76071 -36.80228,174.76073 -36.80185)
606162035;;LINESTRING(174.76073 -36.80185,174.76068 -36.8016)
606162052;Northern Busway;LINESTRING(174.76052 -36.80421,174.76099 -36.80331,174.76129 -36.80251)
606162058;Northern Busway;LINESTRING(174.76032 -36.8046,174.76037 -36.80452,174.76052 -36.80421)
606162059;Northern Busway;LINESTRING(174.76002 -36.80451,174.7601 -36.80438,174.76019 -36.80414)
606162063;Northern Busway;LINESTRING(174.76129 -36.80251,174.76177 -36.8013,174.762 -36.80072,174.76214 -36.80024)
